,STotalM2,SConstrM2,precio_pesos_constantes
56977,1000,40,6376.9903170274
57123,1111,1111,4944.25105458981
57176,440,425,301676.502812829
57440,456,330,193296.506275197
57553,456,330,200680.677094905
57610,900,850,60215.5961613585
57644,431,415,210868.915936578
57790,740,489,218844.356527565
57991,515,115,80832.3400995436
58073,1000,1000,4729.17601884213
58107,533,478,1031223.10410863
58149,430,330,362011.803375395
58165,430,308,336658.003240381
58488,406,406,104210.452855126
58558,111111,11111,16744.78404247
58672,420,400,25923.1466141664
58822,595,280,446208.666393239
59015,1111,55,8408.59785561632
59049,500,200,146986.156069924
59184,500,500,27592.6290723598
59403,460,460,291899.166683498
60037,3800,355,1990.86526958226
60053,442,330,215255.180492508
60063,571,571,433507.196524125
60116,600,260,144371.234575208
60363,460,460,323111.725114632
60396,404,400,346805.7572193
60417,4170,41,8408.59785561632
60429,685,60,2710.14714602648
60706,436,436,139435.212120318
60728,1985,171,121248.510149315
60769,478,445,858109.11533146
60831,423,406,150678.626344756
60834,445,300,434202.416747922
60864,450,190,37613.152452519
60902,1111,1111,11332.280684731
60941,436,418,111552.16659831
60955,478,445,824978.483286906
61220,800,50,3675.62069464453
61403,520,300,42213.8287217046
61509,426,394,219896.055194231
61591,520,300,56661.403423655
61640,500,500,514865.469198876
61641,500,500,534495.112981541
61758,611,335,356681.774477192
61807,423,406,118405.568181509
61978,490,390,145233.302162205
62088,457,457,182073.022540133
62322,1111,1111,7597.59259401439
62455,603,377,206244.620821726
62978,547,441,168152.916846556
63019,450,410,155894.407952949
63024,1000,1000,12222.639308245
63053,440,405,445412.594151284
63085,464,39,10543.4457968289
63121,32000,30,8659.24691643403
63152,770,610,464800.694159624
63416,770,610,526028.130063096
63508,800,55,3924.01233262095
63738,440,425,252493.502430286
63765,450,450,263586.144920723
63769,460,460,275107.481663597
63827,750,550,608387.31114663
64219,478,445,875377.426110259
64272,4040,40,4702.87380262688
64520,777,444,2886.41563881134
64814,507,430,209812.808515995
64922,404,400,280989.59414453
64979,45000,45000,929.247016147942
65051,550,550,99596.5800859412
65162,450,450,111552.16659831
65368,420,360,522905.938208904
65457,750,550,607662.257901721
65473,100000000,100000000,7642.19313908425
65774,500,500,1970.49000785089
65940,550,350,21639.8398869978
66027,1111,40,7416.37658188471
66335,30000,40,2231043.33196619
66457,487,385,181005.901687697
66461,418,169,154877.686569196
66710,478,445,804470.674167544
67032,410,60,17674.8726914771
67369,1111,40,7069.94907659082
67516,1140,116,32072.7653558122
67765,440,437,127705.88542403
67826,1111,1111,5884.26805780447
67938,600,600,1855.96119092046
67941,624,624,179273.844154694
67948,30000,40,2390317.92206259
68059,520,300,47028.7380262688
68082,440,425,218924.375012623
68092,597,597,578936.555663896
68301,611,335,365933.806837264
68782,500,490,278870.424240635
68886,62000,60000,18352.6285668421
69211,437,317,130052.158957238
69306,1111,55,8408.59785561632
69540,547,441,163040.731912977
69800,677,568,516612.43318202
70095,420,360,514309.801753958
70105,650,650,182056.566992551
70286,436,436,321788.269667018
70331,780,600,272312.441554135
70615,460,400,75919.0390181706
70624,520,300,44366.7339842116
70863,406,345,145233.302162205
71047,478,445,841645.008100953
71542,450,450,133623.778245385
71583,450,410,150169.095183005
71593,420,420,243379.221751594
71621,515,115,88381.3228074764
71701,440,425,251775.370219194
71809,669,618,341900.036521206
72756,445,300,356060.631983509
72908,1111,111,4977.16317395564
72941,500,400,44366.7339842116
73157,500,280,148814.162438744
73163,420,350,310142.864601217
73169,440,405,347368.176183753
73195,620,620,306016.964410939
