,STotalM2,SConstrM2,precio_pesos_constantes
117933,442,330,309334.629826168
118008,403,368,144734.138915974
118015,1000,500,37328.7238046673
118376,421,309,525226.455666155
118532,406,400,346630.260436654
118568,718,487,291899.166683498
118831,420,400,26512.5747339108
118877,1111,40,7069.94907659082
118892,507,430,171942.176039748
119013,404,400,593434.386639182
119127,600,30,5191.4636073193
119178,1049,1049,606242.550746577
119200,420,420,240728.792180321
119298,430,308,240728.792180321
119430,450,250,150452.609810076
119914,750,550,562317.109164209
120248,426,342,176745.4517012
120438,402,300,253726.217531805
120496,620,620,311788.815905899
120518,7000,7000,6416.50196569909
120522,404,404,241696.360963004
120777,480,480,318709.056275012
120952,600,525,61113.1965412251
121003,420,360,575259.978685585
121016,1111,1111,4326.64389841673
121094,600,525,58314.1188287495
121192,572,572,86842.0440459384
121293,457,385,153247.062508836
121415,597,597,316113.293412596
121488,500,500,516612.43318202
121499,800,150,26278.6943546284
121568,431,415,322882.770738762
121592,420,420,238428.958088269
121792,445,300,288742.469150417
121835,420,420,521042.900097507
121937,1111,1111,3399.6842054193
122094,490,250,108924.976621654
122146,457,457,145894.633997176
122298,1600,100,2837.0578135843
122456,770,610,752263.049050381
122473,409,409,393919.841749616
122637,516,116,96489.4259439827
122836,416,230,83509.148743268
122894,423,406,120359.523227824
123169,440,440,108455.770025958
123172,550,411,82502.8153306538
123181,478,445,874334.184031253
123203,478,478,404161.700497718
123295,460,450,130144.194364695
123340,403,403,218844.356527565
123367,510,432,173684.088091877
123950,420,420,2239.72342828004
123981,600,30,6987.14801287703
123993,436,436,118405.568181509
124118,426,394,225789.31451944
124120,770,610,439046.240850828
124133,1111,1111,7652.38838043289
124249,1111,111,8710.03555442237
124525,1140,116,30809.5728756625
124605,750,485,444577.87054749
124661,500,400,50179.6634677988
124703,500,500,36411.3133985103
125065,650,650,561979.18828906
125153,416,405,145233.302162205
125337,408,408,383953.615472832
125341,600,60,6647.89351976259
125390,435,400,193180.345974364
125532,520,300,32848.3679432854
125853,1111,1111,4890.98875473196
125924,450,250,136760.014608482
125985,457,385,147519.536925878
126140,1111,27,3714.81692751
126227,416,405,178165.037660514
126314,500,80,3284.83679432855
126427,585,37,4614.140334358
126458,487,385,200435.667368078
126692,18500,18500,40611.6828954037
126768,440,405,404161.700497718
126987,495,495,151727.518783444
127114,422,422,192978.851887965
127147,431,415,251775.370219194
127194,406,345,140579.277291052
127246,430,330,363745.530447946
127256,677,568,520208.63582895
127287,402,310,104581.187641781
127648,600,35,4614.140334358
127902,440,405,442507.675911989
127989,540,360,326774.929864962
128318,1111,24,5255.73887092567
128382,460,460,312631.358565378
128409,30000,40,2574327.34599438
128527,423,406,123006.867629671
128667,430,330,434202.416747922
128677,500,320,158249.169770448
128693,457,385,191052.496901064
128760,550,350,22397.2342828004
128853,559,482,208420.905710252
128880,435,400,226869.082903899
129276,420,420,436494.636537535
129357,750,485,486758.443503188
129408,624,624,164193.281259468
129433,610,610,47132.9938439388
129603,500,80,2945.81211524618
129647,422,422,168329.001620191
129657,404,400,335700.493625592
129678,1111,1111,5474.8794913512
129800,440,437,139435.212120318
129846,426,342,153247.062508836
129872,490,390,158249.169770448
129999,1111,1111,21691.1540051916
130290,442,330,281564.73595864
130340,490,250,119515.896103129
130421,600,600,287466.553636039
130479,770,610,429855.44009937
131014,416,405,159354.528137506
131086,11111,111,3527.84133632498
131218,580,521,289468.277831948
131223,416,405,173402.87860965
131258,600,440,193074.550949578
131318,500,80,5972.30630814761
131448,575,575,437487.547897008
131596,597,597,534495.112981541
131952,515,115,84164.5008100953
131987,1000,1000,13598.7368216772
132094,478,445,743681.110655398
132411,600,30,7252.65963822784
132566,500,500,31944.0484686323
132648,431,415,206330.611247698
132672,487,385,198857.976316822
132764,465,195,128716.367299719
132771,624,624,154747.958435773
132936,900,44,8134.18275194686
133290,750,550,562317.109164209
133348,408,408,458324.773233918
133358,410,60,18540.9414547118
133452,718,487,277894.540947003
133765,520,300,54587.0938506018
134557,2118,139,100997.400972114
134581,500,320,164995.696657381
134623,478,445,839251.23406398
134785,460,300,172106.126413525
134913,685,60,4906050.14219499
135239,1111,1111,9038.68841845617
135278,1000,70,11224.9497064886
135349,1000,250,58915.1505670667
135397,25000,33,6568.30002616963
135500,580,60,10949.7589827024
135584,431,415,130052.158957238
135824,68000,68000,9455.89763366182
135920,740,489,185920.277663849
135963,685,60,6085410.69819792
136065,650,650,562317.109164209
136121,416,405,140494.797072265
136342,401,326,135473.588711664
136605,435,400,237373.754655673
136608,1800,1800,116628.237657499
136750,500,18,4568.41064281065
136922,556,406,675425.981607879
137023,430,308,343243.646132584
137356,420,42,2153.13333009889
137481,600,65,12360.6276364745
137501,415,50,46462.3508021318
137710,18500,18500,37954.8438295986
137756,540,290,236811.136363018
138006,431,420,241341.202250263
138168,40000,40000,8252.21252106335
138265,516,116,82497.8483286906
138321,500,490,254158.278783859
138572,478,445,867014.39304825
138696,520,300,44366.7339842116
138748,30000,40,2063306.11247698
138759,571,571,437688.713055129
138978,423,406,147287.876417667
139024,718,487,343243.646132584
139226,431,415,331880.756933992
139276,1111,111,5287.21878876546
139366,415,377,218583.546007813
139421,750,550,561979.18828906
139513,1111,1111,6113.7545112674
139577,478,445,694736.352367507
139674,550,350,22396.1486555535
139750,418,418,119515.896103129
139802,418,230,101919.976036013
139841,478,445,824978.483286906
139994,600,600,281951.077713819
140030,426,342,167322.254544381
140090,418,230,101858.727877392
140279,500,500,43279.6797739956
140298,800,150,20262.6377864182
140400,431,415,133623.778245385
140515,509,509,5892.78595606012
140639,420,360,627181.268635888
140868,500,500,39418.0415319425
140889,627,627,306016.964410939
140897,460,450,150678.626344756
140968,545,545,258951.108223447
141137,520,300,63769.903170274
141329,406,406,241341.202250263
141383,436,418,125887.685109597
141771,420,420,204512.305430234
141796,770,610,731867.613674528
141953,423,406,153191.049569295
141979,1000,500,35459.6161262318
142015,1111,24,5581.59468082332
142029,500,80,3488.49667551458
142388,576,521,242497.020298631
142409,1000,1000,3940.98001570178
142925,418,169,150678.626344756
143098,30000,40,2189243.75012623
143365,100000,90,16930.3456894568
143446,540,420,412489.241643453
143484,650,650,176240.626292182
143566,487,385,217101.208373961
143641,404,404,223524.828851672
143698,430,308,216828.761196874
143959,900,850,40416.1700497718
144052,487,385,185620.158739554
144101,478,445,858109.11533146
144158,406,406,111552.16659831
144163,416,230,83921.0104215057
144190,435,400,199695.790473032
144206,591,423,175724.096613815
144329,540,420,441906.614037382
144419,577,522,237373.754655673
144438,627,627,387459.324886515
144548,1111,45,5581.59468082332
144549,597,597,377663.055328791
145185,500,70,1716218.23066292
145241,457,385,178030.315991755
145395,3011,3011,8837.43634573853
145548,45000,45000,7166.76756977713
145737,457,385,198857.976316822
145789,1111,1111,8385.88770670094
145814,500,500,43735.5891215621
145995,16000,40,4889.05572329801
146018,600,600,266918.834630322
146023,409,409,363745.530447946
146082,436,418,108924.976621654
146121,426,342,173245.48149025
146165,550,550,120359.523227824
146208,15469,13293,105371.097804199
146641,435,435,69350.3021098384
146840,600,260,140782.36797932
146948,1000,1000,13938.7052406395
147023,416,405,172204.144394007
147030,478,445,687768.704158992
147091,1111,11111,7092.45752288679
147166,442,330,257432.734599438
147185,442,330,181541.627702756
147412,500,500,8863.85802635012
147453,477,477,210411.252025238
147631,431,415,331429.960528037
147860,1111,1111,3484.67631015989
147940,800,50,3790.12615327457
147986,440,425,228304.045242431
148376,430,330,398256.90832079
148404,420,420,353525.291229906
148422,1140,116,43768.8713055129
148629,420,420,2295.71651412987
148692,99999999,99999999,7355.33507225559
148979,500,320,192978.851887965
149127,15469,13293,105434.457968289
149263,4200,1100,53024.6180744312
149275,442,330,262300.255209376
149638,600,260,138468.023549142
149845,1111,1111,3732.87238046673
149877,440,425,303121.275373288
149888,559,482,202980.974025444
150223,440,405,412489.241643453
150295,478,445,995965.800859412
150327,466,319,419625.61703199
150471,1111,40,7069.94907659082
150496,431,415,223524.828851672
150530,457,457,168938.841575184
150798,62000,60000,17249.5216567902
150852,1111,1111,73759.7684629392
150877,436,436,316498.339540897
151140,440,440,126626.543233573
151560,550,550,91218.4895885931
151646,408,408,420382.292116389
151713,404,400,333675.14304663
151860,750,550,596385.835155365
151925,477,400,214527.278832865
151939,420,420,230794.089367595
152005,457,385,176242.759153436
152042,669,618,298551.443778563
152153,3800,355,1858.49403208527
152191,1000,1000,9617.70661644347
152243,4674,4320,10694.8093947144
152566,780,600,597579.480515647
152904,1000,1000,12043.1192322717
153125,900,850,65653.3069582694
153618,477,400,173684.088091877
153638,430,308,297472.444262159
153679,500,200,51661.243318202
153792,423,406,127705.88542403
154065,677,568,474747.509311345
154098,457,457,144431.427873388
154104,576,521,247493.544986072
154129,436,436,321788.269667018
154163,465,195,131150.127604688
154243,435,400,193180.345974364
154357,422,422,175075.485222052
154373,1111,40,7069.94907659082
154430,800,50,3953.73399655699
154467,1000,1000,10845.5770025958
154469,93000,93000,71266.0150642054
154598,516,116,82497.8483286906
154748,800,150,17916.9189244428
154875,5330,50,8028.7461548478
155053,1111,1111,5022.01263425536
155163,65000,65,9704.99775073986
155271,677,568,525226.455666155
155291,490,390,140579.277291052
155380,475,475,203553.530919515
155404,1049,1049,618733.862465179
155439,900,850,63045.7291907622
155473,1000,1000,11662.8237657499
156128,2222,1111,5611.75147898412
156157,475,475,217592.608434367
156329,40000,40000,6139.75414890566
156481,685,60,4769798.3606034
156674,1140,116,34822.2993892326
156767,442,330,175724.096613815
156885,4000,35,5131.40558010906
156951,478,478,442507.675911989
157083,435,400,193296.506275197
157136,478,478,412489.241643453
157163,680,680,419625.61703199
157174,430,330,214467.469397013
157187,1000,500,42013.053921358
157357,404,400,606242.550746577
157396,435,310,653549.859729923
157609,516,456,321386.542206953
157625,800,50,4192.94385335047
157796,620,620,309334.629826168
157857,111111,111111,6166.30509411864
157948,478,445,726166.510811026
157956,403,403,214527.278832865
158084,922,460,185600.7778957
158169,547,441,163593.937174306
158293,1111,1111,7591.90390181707
158431,431,415,160894.134833509
158473,650,650,583798.333366996
158649,770,610,439310.241534538
158873,1000,1000,6754.21259547273
159037,11111,111,3284.76846948118
159251,516,116,96489.4259439827
159360,680,680,462904.754455524
159531,1111,27,4479.2297311107
159671,560,45,5324.00807810539
159861,680,680,480883.801217189
159875,650,650,144532.818950456
160012,431,415,361835.347289935
160046,431,415,217849.953243308
160225,416,405,135320.649350296
160394,450,450,343884.352079496
160447,520,300,37326.9144259225
160492,464,39,10904.2368577317
160530,500,18,2130.1781234228
160556,515,115,96489.4259439827
160626,465,195,129153.108295505
160656,600,600,288441.941859961
160884,669,618,295262.94975619
161233,423,406,121578.861664314
161262,792,300,45157.8629038879
161352,408,408,391864.77956128
161356,420,420,472703.81009954
161497,456,330,189136.393643723
161711,478,445,861020.721970033
161788,799,48,3826.19419021644
161801,570,45,5131.40558010906
162265,450,420,182436.979177186
162410,624,624,188831.527664396
162420,1111,1111,5770.62396986608
162429,466,319,363083.255405513
162670,500,500,32677.4929864962
162716,800,49,3666.4862264908
162918,520,300,65683.0002616963
162990,436,418,103165.305623849
163103,1111,42,7659.11149964006
163240,770,610,434210.220229692
163437,30000,40,2524935.02430286
163458,422,422,176762.645614953
163459,500,500,42905.455766573
163519,111111,11111,16744.78404247
163600,1111,1111,4067.09137597343
163621,675,402,158056.646706298
163635,1234,1234,7914.15895209832
163669,490,390,161664.680199087
163767,595,280,412661.222495395
163770,700,60,3323.94675988129
163842,520,300,29458.1211524618
163945,409,409,311788.815905899
163967,611,335,338628.3722922
164254,610,610,55815.9468082332
164397,420,420,34988.4712972497
164452,420,400,35741.8408999643
164553,1111,1111,3940.98001570178
164898,516,456,326690.134475521
164929,510,432,199193.160171882
164962,440,405,371840.555327699
164992,100000,90,15972.0242343162
165009,510,432,175724.096613815
165390,510,432,175618.496340331
165427,436,436,121578.861664314
165810,490,390,164995.696657381
165945,416,405,137553.740831798
166018,600,600,1926.48771640427
166234,40000,40000,6044.09970156452
166298,9999,45,8178.17764329881
166314,480,480,275107.481663597
166322,500,500,2291.74487029594
166478,700,60,2311.67673699461
166498,2118,139,102973.093839775
166769,460,400,185028.255058535
166783,7095,6275,17938.3420919815
166807,406,406,151727.518783444
166813,111111,11111,17916.9189244428
166887,404,40,7226.6409475228
166893,422,327,114895.719649719
166936,440,437,122932.947438232
167540,436,418,101490.487012722
167606,457,385,167322.254544381
167872,533,478,1104766.53509346
167943,418,169,138468.023549142
167986,416,230,85971.088019874
167996,460,450,155894.407952949
168058,111111111,111111111,4665.12950629996
168123,440,440,122226.39308245
168218,450,250,147392.446818203
168318,445,300,397715.952633644
168450,436,436,329991.393314762
168660,430,430,625262.717130756
168998,420,420,477259.143160373
169049,490,344,324410.798029419
169159,677,568,236210.359804952
169179,436,418,109462.187506312
169539,669,618,298730.964243486
169701,440,440,110476.653509346
169789,409,409,434202.416747922
170108,436,418,119515.896103129
170162,440,440,126626.543233573
170360,600,30,7433.97612834109
170421,500,280,136760.014608482
170677,460,460,297472.444262159
170717,404,400,344408.288788013
170761,1111,1111,5860.67441486449
170788,332155546,2287862444,5253.81076589685
170832,460,300,177910.795148701
170914,445,440,120670.601125132
170990,550,550,87809.2481701657
171020,680,680,316113.293412596
171338,490,390,159354.528137506
171415,402,310,102861.960350792
171559,800,50,3787.50201792728
171667,770,610,701231.71079387
172007,520,300,28028.6595187211
172282,545,545,228304.045242431
172292,3900,3900,7631.07824528439
172402,416,405,161664.680199087
172442,440,440,105092.800418714
172540,435,400,219112.476189071
172834,422,422,148736.22213108
172916,1000,46,6111.31965412251
173148,487,385,156315.679282689
173286,500,500,27621.9166751827
173292,1111,1111,4201.3053921358
173594,478,478,482447.129719914
173814,575,575,393919.841749616
174022,423,406,122932.947438232
174283,423,406,151727.518783444
174472,2000,48,6550.45126207221
174570,500,500,416841.811420504
174724,490,250,103165.305623849
174871,442,330,260104.317914475
174927,1000,1000,14426.5599246652
174954,1111111,11111111,4532.9122738924
175051,627,627,400871.334736156
175254,1541,500,35174.0046130639
175255,603,377,221253.837955994
175327,418,169,151727.518783444
175348,420,42,2284.20532140532
175366,600,600,235470.289462513
175428,1111,1111,5110.8585882345
175638,600,45,5324.00807810539
175720,624,624,158151.686952434
175751,1000,500,29303.3720743224
175890,685,60,5090028.20643933
175903,550,350,21951.1909352864
176005,433,349,126599.335816359
176045,478,445,687768.704158992
176052,466,319,351236.992680663
176451,466,319,338301.62337574
176465,406,406,153191.049569295
176823,420,420,3211.49846193912
176899,900,850,66376.1513867983
176962,72000,60000,6964.45987784652
177112,600,350,378740.253645429
177154,669,618,310142.864601217
177310,603,377,220953.307018691
177411,3500,60,5620.12230839346
177551,460,400,181986.545236016
177598,770,610,497982.900429706
177638,2000,2000,21389.6187894288
177693,422,422,164995.696657381
177712,900,850,64576.5541477524
177807,750,550,598409.401769173
177841,423,325,120670.601125132
178046,1111,1111,8405.32217701175
178048,540,290,245865.894876464
178310,540,290,303455.037566888
178418,750,550,637418.112550024
178460,457,457,185600.7778957
178477,624,624,188831.527664396
178529,533,478,1106269.18977997
178555,442,330,306382.09913859
178668,1111,1111,4067.09137597343
178807,610,610,52557.3887092567
178814,460,460,312600.92348579
178960,77000,73000,13703.8179247561
179391,435,400,221229.435396075
179626,200000,200000,7735.91002716702
179801,450,450,158249.169770448
179927,1000,1000,13100.9025241444
179963,700,50,3953.73399655699
180040,1111,24,5255.73887092567
180206,420,350,298551.443778563
180236,420,42,2206.96166310126
180265,426,342,182073.022540133
180324,1111,1111,5253.81076589685
180476,500,18,2836.84549637011
180521,600,65,10840.5885841059
180527,430,330,216828.761196874
180666,500,500,36129.3576968151
180772,490,390,172204.144394007
180784,1111,55,8837.43634573853
180801,11111,11111,6056.70754187251
180835,1000,70,11819.8720420773
180859,1000,1000,7465.74476093346
180960,478,445,791245.848852242
180996,516,116,88381.3228074764
181026,800,735,578936.555663896
181146,45000,45000,945685.937861433
181458,495,495,150678.626344756
181474,445,300,288742.469150417
181574,8500,85,28217.2428157613
181619,430,330,371240.317479108
181678,500,180,5289.73863904391
181718,45000,45000,913.682128562129
181960,416,230,85971.088019874
182312,404,400,281158.554582105
182683,669,618,364696.37401587
182771,1111,1111,4616.52903903749
182774,900,850,40223.5337083772
182928,431,415,272756.651070794
182993,1111,1111,9989.40542245834
183142,547,441,166321.710960949
183146,430,308,238428.958088269
183284,435,400,193296.506275197
183895,30000,40,2623002.55209376
183940,23500,42,7180.80059359394
183994,435,400,309334.629826168
184296,456,330,193296.506275197
184300,422,309,240728.792180321
184795,422,422,171621.823066292
184840,800,60,4912.83844655416
184987,520,300,30901.5690911863
185017,420,72,1716218.23066292
185174,420,420,191052.496901064
185247,51000,51,6798.34520006099
185387,402,300,314719.212773993
185488,780,600,515826.528119244
185544,1111,1111,5017.96634677988
185561,1111,40,7416.37658188471
185666,597,597,525226.455666155
185667,403,403,265504.605547193
185834,570,45,5324.00807810539
185839,600,525,63313.2716167866
186001,620,620,245865.894876464
186127,750,550,615085.669517664
186253,478,445,676603.24675148
186418,406,406,258306.21659101
186507,416,405,168329.001620191
186718,600,30,5772.83127762269
187053,680,680,371840.555327699
187154,1171,60,7631.07824528439
187448,18500,18500,43616.947430927
187507,450,450,166736.724568202
187823,487,385,196959.920874808
187895,416,405,140579.277291052
187938,466,319,398386.320343765
188065,1600,100,2947.7030679325
188232,436,436,123006.867629671
188460,559,482,223104.333196619
188689,575,575,408364.349227018
188870,430,330,210950.076882658
188925,420,400,23485.1925093016
188956,550,550,220953.307018691
189048,457,457,144431.427873388
189403,611,335,410080.060261926
189452,423,406,154877.686569196
