,Unnamed: 0.1,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_por_m2,precio_pesos_constantes
2111,651,30484,65291,2021-04-01,Departamento,59.0,59.0,1,1,2,0.0,0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,General San Martín,Bs.As. G.B.A. Norte,,U,-58.5502791972439,-34.5670413511276,2021,166.15332059294118,9803.04591498353
146,3280,154706,68909,2022-09-01,Departamento,49.0,43.0,1,1,2,,0.0,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,,0.0,,,,0.0,0.0,,General San Martín,Bs.As. G.B.A. Norte,Villa Ballester,U,-58.55209023647,-34.5471811320878,2022,168.06141738425117,7226.6409475228
1180,3996,187348,68902,2021-05-01,Departamento,47.0,45.0,1,1,2,0.0,No,20.0,0,No,0,No,Sí,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,General San Martín,Bs.As. G.B.A. Norte,Villa Ballester,U,-58.5673431548218,-34.5469862551053,2021,126.5317316969511,5693.9279263628
1329,2865,133384,64635,2021-01-01,Departamento,25.0,25.0,1,1,2,0.0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,General San Martín,Bs.As. G.B.A. Norte,Villa San Andrés,U,-58.5459869067918,-34.5707025590144,2021,208.9337963353956,5223.34490838489
2102,1950,90574,64310,2022-07-01,Departamento,49.0,49.0,1,1,2,,0,0.0,,0,,0,0,0,1,0,,,0,,,,,0,0,0,,,,,,1.0,,,General San Martín,Bs.As. G.B.A. Norte,Barrio Parque Gral San Martín,N,-58.5373016017265,-34.572615656027,2022,167.5902280347543,8211.92117370296
2074,226,10587,67272,2021-04-01,Departamento,57.0,57.0,2,1,3,0.0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,0.0,No,0.0,0.0,0,0.0,No,0,General San Martín,Bs.As. G.B.A. Norte,Villa San Andrés,U,-58.534823717863,-34.5564163783293,2021,108.10376447600896,6161.91457513251
2154,1205,55680,69241,2021-04-01,Departamento,45.0,40.0,2,1,3,0.0,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,General San Martín,Bs.As. G.B.A. Norte,Villa Ballester,U,-58.5455198875004,-34.5454611030373,2021,161.05004003187224,6442.00160127489
2234,1309,60497,71203,2021-06-01,Departamento,64.0,64.0,1,1,2,0.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0,0.0,0,0,General San Martín,Bs.As. G.B.A. Norte,Villa José León Suárez,U,-58.5714638485917,-34.5343096173509,2021,123.15562549068062,7881.96003140356
532,870,40238,70214,2022-03-01,Departamento,48.0,42.0,1,1,2,0.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,General San Martín,Bs.As. G.B.A. Norte,Villa José León Suárez,U,-58.5759230737067,-34.5396622837749,2022,170.19924238078238,7148.36817999286
1714,2039,95940,63980,2021-08-01,Departamento,45.0,45.0,1,1,2,0.0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,General San Martín,Bs.As. G.B.A. Norte,San Martín Centro,U,-58.5395145202694,-34.5743911412601,2021,149.3148952186691,6719.17028484011
2840,1972,91741,64310,2021-08-01,Departamento,54.0,54.0,1,2,2,0.0,No,0.0,No,Sí,No,No,No,No,Sí,No,Sí,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,General San Martín,Bs.As. G.B.A. Norte,San Martín Centro,S,-58.5373016017265,-34.572615656027,2021,175.12240797251332,9456.61003051572
