,Unnamed: 0.1,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_por_m2,COMUNA,precio_pesos_constantes
2685,3770,151937,56472,2021-08-01,Departamento,32.0,29.0,1,1,1,0.0,No,35.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Balvanera,U,-58.4116074692124,-34.6174161654284,2021,188.7889479776276,COMUNA 3,5474.8794913512
2270,404,15472,56475,2022-01-01,Departamento,40.0,40.0,1,1,2,0.0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Balvanera,U,-58.4050645428675,-34.6174917134043,2022,178.629566040493,COMUNA 3,7145.18264161972
2038,4177,167696,56804,2022-03-01,Departamento,98.0,98.0,3,1,5,0.0,No,30.0,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Balvanera,U,-58.4050341539806,-34.6156886551801,2022,115.17241965616836,COMUNA 3,11286.8971263045
1109,3595,144800,55165,2021-01-01,Departamento,45.0,45.0,1,1,2,0.0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,San Cristóbal,U,-58.3920990684933,-34.6248540245192,2021,154.765775063256,COMUNA 3,6964.45987784652
2480,2485,99173,57133,2022-06-01,Departamento,165.0,155.0,3,2,4,,,102.0,,,,,1,1,,,,,,,,,,,,0,,,,,,0.0,,,Capital Federal,Capital Federal,Balvanera,U,-58.4050037677933,-34.6138855963987,2022,118.97412131301223,COMUNA 3,18440.9888035169
2362,1067,42642,57131,2022-04-01,Departamento,43.0,36.0,1,1,2,0.0,   0,35.0,   0,   0,   0,   0,Sí,   0,   0,   0,   0,   0,   0,   0,   0,Sí,   0,   0,   0,0,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Capital Federal,Capital Federal,Balvanera,U,-58.4093655328754,-34.613835276791,2022,187.32621015556,COMUNA 3,6743.74356560016
1608,940,37288,59439,2022-05-01,Departamento,51.0,42.0,1,1,2,,,1.0,,,,,,,,,,,,,,,,,,0,,,,,,0.0,,,Capital Federal,Capital Federal,Balvanera,U,-58.3982494615452,-34.6013393212493,2022,273.3847955310381,COMUNA 3,11482.1614123036
2141,1953,77702,56806,2021-08-01,Departamento,65.0,62.0,2,2,3,0.0,No,5.0,No,Sí,No,No,No,Sí,No,No,No,No,No,No,No,Sí,No,No,No,1,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Balvanera,U,-58.4006722838439,-34.6157388222662,2021,220.7612698125484,COMUNA 3,13687.198728378
2761,2282,90098,59439,2022-09-01,Departamento,72.0,65.0,2,1,3,,0.0,45.0,,1.0,,0.0,1.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Balvanera,U,-58.3982494615452,-34.6013393212493,2022,181.92942245512,COMUNA 3,11825.4124595828
2785,4951,198629,58776,2022-03-01,Departamento,30.0,27.0,0,1,1,0.0,No,11.0,0,0,0,Sí,Sí,0,Sí,Sí,0,0,0,0,0,Sí,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Balvanera,U,-58.409213171267,-34.6048199913599,2022,296.1068690542852,COMUNA 3,7994.8854644657
1308,2633,104853,60092,2022-05-01,Departamento,32.0,32.0,0,1,1,,,42.0,,,,,,,,,,,,,,,,,,0,,,,,,0.0,,,Capital Federal,Capital Federal,Balvanera,U,-58.4090913306987,-34.5976077529829,2022,211.0691436085228,COMUNA 3,6754.21259547273
2711,2671,105917,55814,2021-01-01,Departamento,36.0,32.0,1,1,1,0.0,No,40.0,No,Sí,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,San Cristóbal,U,-58.4116685379171,-34.6210222700938,2021,216.65010131369155,COMUNA 3,6932.80324203813
1409,4337,174432,59433,2022-03-01,Departamento,27.0,27.0,0,1,1,0.0,0,40.0,0,Sí,0,0,0,0,0,Sí,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Balvanera,U,-58.4113327942745,-34.6011886668395,2022,215.98383389842,COMUNA 3,5831.56351525734
1256,2513,100219,58455,2021-04-01,Departamento,22.0,22.0,0,1,1,0.0,No,0.0,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,Sí,No,Sí,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,San Cristóbal,U,-58.3917980209874,-34.606823339092,2021,229.1621122983164,COMUNA 3,5041.56647056296
3815,3518,141623,59101,2021-06-01,Departamento,100.0,90.0,3,2,4,0.0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Balvanera,U,-58.4179050739957,-34.6029158663464,2021,189.7508896449,COMUNA 3,17077.580068041
3447,3605,145223,57137,2021-07-01,Departamento,33.0,33.0,1,1,2,0.0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Balvanera,U,-58.3962802052708,-34.613985767977,2021,262.80929791385665,COMUNA 3,8672.70683115727
3675,4656,186814,58783,2021-08-01,Departamento,28.0,28.0,1,1,2,0.0,No,49.0,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Balvanera,U,-58.3939485953836,-34.6049953693208,2021,222.19478455159103,COMUNA 3,6221.45396744455
1585,2604,103539,59438,2021-03-01,Departamento,90.0,90.0,3,2,4,0.0,No,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Balvanera,U,-58.4004300237373,-34.6013143095598,2021,161.9836634131933,COMUNA 3,14578.5297071874
1170,415,15906,56148,2022-03-01,Departamento,34.0,34.0,1,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,San Cristóbal,U,-58.4007328757776,-34.6193449448718,2022,182.58215939610264,COMUNA 3,6207.79341946749
1478,1609,64201,57133,2022-02-01,Departamento,53.0,48.0,2,1,3,0.0,No,50.0,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Balvanera,U,-58.4050037677933,-34.6138855963987,2022,188.1737380042454,COMUNA 3,9032.33942420378
1960,3628,145858,57789,2021-01-01,Departamento,30.0,30.0,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Balvanera,U,-58.4093045801107,-34.6102291642907,2021,189.93981485035965,COMUNA 3,5698.19444551079
