,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,precio_pesos_constantes,year,COMUNA
138043,47892,2021-03-01,Departamento,37.0,37.0,2,1,2,0,No,5 años,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4691384336176,-34.6636247447455,5539.8412887312,2021,COMUNA 8
138497,48221,2021-03-01,Departamento,0.0,38.0,1,1,2,0,No,30 años,0,Sí,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,1,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Soldati,U,-58.4691066045556,-34.6618217509213,7289.26485359369,2021,COMUNA 8
138723,48219,2021-07-01,Departamento,50.0,50.0,2,1,3,0,0,40 años,0,0,0,0,No,No,0,No,0,0,No,0,0,0,0,0,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4734707568032,-34.6617690761634,5866.83109166521,2021,COMUNA 8
139857,43289,2022-01-01,Departamento,55.0,55.0,2,1,3,0.0,No,40 años,0,0,0,0,0,0,0,Sí,0,Sí,0,0,0,Sí,0,0,No,0,0.0,Sí,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4630359610268,-34.6889453978575,5884.26805780447,2022,COMUNA 8
139868,48557,2022-11-01,Departamento,80.0,60.0,1,1,3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Capital Federal,Capital Federal,Villa Lugano,S,-58.4538004872345,-34.6602018763208,10604.9236148862,2022,COMUNA 8
139895,47890,2021-04-01,Departamento,70.0,68.0,3,2,4,0,0,0 años,0,No,0,No,0,0,0,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,N,-58.4735026803339,-34.6635720664649,8010.48894767226,2021,COMUNA 8
140522,45250,2022-09-01,Departamento,40.0,40.0,2,1,3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Capital Federal,Capital Federal,Villa Lugano,U,-58.4912180679122,-34.6777835805202,5518.52581447196,2022,COMUNA 8
140610,46572,2022-09-01,Departamento,80.0,80.0,2,1,3,,0.0,6.0,,0.0,,0.0,1.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Villa Lugano,U,-58.4779950161454,-34.670731173506,10511.4777418513,2022,COMUNA 8
140762,43949,2022-09-01,Departamento,60.0,60.0,2,1,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,Capital Federal,Capital Federal,Villa Lugano,S,-58.4586071010319,-34.6853917446605,2365.08249191655,2022,COMUNA 8
141115,48549,2021-01-01,Departamento,52.0,52.0,2,1,3,0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,S,-58.47125680863,-34.6599924404359,5698.19444551079,2021,COMUNA 8
141518,43949,2022-01-01,Departamento,49.0,49.0,2,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,S,-58.4586071010319,-34.6853917446605,5884.26805780447,2022,COMUNA 8
142813,45917,2021-09-01,Departamento,65.0,70.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,S,-58.4715118756449,-34.6744163657508,8175.05062397694,2021,COMUNA 8
142933,47892,2022-12-01,Departamento,40.0,40.0,1,1,2,,,,,,,,1.0,,,,,,,,,,,,,0,,,,,,,,,Capital Federal,Capital Federal,Villa Lugano,U,-58.4691384336176,-34.6636247447455,7063.22219871771,2022,COMUNA 8
143097,47562,2021-02-01,Departamento,60.0,60.0,1,1,2,0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4713524375198,-34.6654014166283,7639.14956765313,2021,COMUNA 8
144280,48550,2021-09-01,Departamento,40.0,40.0,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,S,-58.4690747783208,-34.6600187565374,6588.12903226377,2021,COMUNA 8
144737,43949,2022-04-01,Departamento,60.0,60.0,2,1,3,0.0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,1,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Capital Federal,Capital Federal,Villa Lugano,S,-58.4586071010319,-34.6853917446605,2662.0040390527,2022,COMUNA 8
145586,43949,2022-09-01,Departamento,60.0,60.0,2,1,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,Capital Federal,Capital Federal,Villa Lugano,S,-58.4586071010319,-34.6853917446605,2463.62759574641,2022,COMUNA 8
145989,42959,2022-03-01,Departamento,58.0,52.0,2,1,3,0.0,No,8 años,No,No,No,No,No,No,No,No,No,No,No,0,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4652505329088,-34.6907221597519,7524.59808420301,2022,COMUNA 8
146812,46904,2021-04-01,Departamento,68.0,43.0,1,1,2,0,No,0 años,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,N,-58.4714162042723,-34.6690073979571,13724.2642809769,2021,COMUNA 8
148681,44931,2022-04-01,Departamento,45.0,45.0,1,1,2,0.0,   0,0 años,   0,No,   0,No,   0,   0,   0,No,   0,   0,No,   0,   0,   0,   0,No,No,0,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Capital Federal,Capital Federal,Villa Lugano,N,-58.4694250224433,-34.6798516639696,7986.01211715808,2022,COMUNA 8
148683,44601,2021-06-01,Departamento,42.0,35.0,1,1,2,0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4716394771406,-34.6816283149692,7619.22803035677,2021,COMUNA 8
148811,43942,2022-03-01,Departamento,150.0,90.0,2,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Villa Lugano,S,-58.4738859839725,-34.6852079064016,10346.3223657791,2022,COMUNA 8
149213,46569,2021-01-01,Departamento,150.0,80.0,2,2,3,0,No,8 años,No,No,No,No,No,No,No,No,Sí,No,No,No,No,Sí,No,No,No,1,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4845419147863,-34.6706516078006,12662.6543233573,2021,COMUNA 8
149944,52840,2021-08-01,Departamento,90.0,90.0,2,1,3,0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,S,-58.4403026219302,-34.6369180416324,10452.0426653068,2021,COMUNA 8
150267,48551,2021-03-01,Departamento,57.0,57.0,2,1,3,0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.4668927451846,-34.660045033606,4956.70010044371,2021,COMUNA 8
150787,43947,2022-08-01,Departamento,49.0,49.0,2,1,3,,0.0,40.0,,,,,,,,,,,,,,,,,0.0,0,,,,,,1.0,,,Capital Federal,Capital Federal,Villa Lugano,U,-58.462972510268,-34.6853394147918,5707.18056114185,2022,COMUNA 8
150970,43941,2022-03-01,Departamento,150.0,120.0,2,1,3,0.0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,0,0.0,   0,0.0,0.0,   0,0.0,   0,   0,Capital Federal,Capital Federal,Villa Lugano,S,-58.4760686702136,-34.685181487516,11286.8971263045,2022,COMUNA 8
152047,50840,2021-08-01,Departamento,35.0,35.0,1,1,2,0,No,35 años,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Villa Lugano,U,-58.497213949514,-34.6470527879154,7714.60291963124,2021,COMUNA 8
153436,42627,2022-05-01,Departamento,40.0,40.0,1,1,1,,0,10,,0,,0,0,0,0,0,,,0,,,,,0,0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Villa Lugano,U,-58.471830964414,-34.6924462219955,7260.77854013318,2022,COMUNA 8
