,Unnamed: 0.1,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_por_m2,COMUNA,precio_pesos_constantes
2608,14673,148830,61732,2021-01-01,Departamento,36.0,36.0,1,1,1,0.0,No,7.0,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Sí,No,No,Sí,0,0.0,No,0.0,0.0,0,0.0,No,0,Capital Federal,Capital Federal,Palermo Viejo,U,-58.419840159388,-34.5884660799545,2021,215.4409936960097,Desconocido,7755.87577305635
313,14726,149272,56156,2022-08-01,Departamento,49.0,49.0,0,1,1,,1.0,7.0,,1.0,,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,1.0,1.0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Monserrat,U,-58.3832845337407,-34.6195440809499,2022,213.58142911313675,Desconocido,10465.4900265437
3120,7090,71028,64034,2021-02-01,Departamento,30.0,30.0,1,1,1,0.0,Sí,0.0,0,Sí,0,No,No,No,No,Sí,0,0,No,0,0,0,0,No,Sí,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Palermo Nuevo,N,-58.4218053665553,-34.5758193036382,2021,325.93704821986705,Desconocido,9778.11144659601
14042,19518,197331,62380,2021-03-01,Departamento,36.0,32.0,1,1,1,0.0,0,6.0,0,0,0,0,0,Sí,0,Sí,0,0,0,0,0,0,0,0,Sí,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Palermo Hollywood,U,-58.441579802678,-34.5846043580712,2021,346.2400805457,Desconocido,11079.6825774624
1529,12427,125740,59436,2022-02-01,Departamento,160.0,90.0,2,1,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,Once,S,-58.4047911400494,-34.6012641693257,2022,156.11450856648554,Desconocido,14050.3057709837
9246,4920,49295,57790,2022-08-01,Departamento,38.0,38.0,1,1,2,,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,Capital Federal,Capital Federal,Once,U,-58.407123793165,-34.6102543402094,2022,201.96559700347552,Desconocido,7674.69268613207
9808,16749,169446,63042,2021-05-01,Departamento,36.0,33.0,1,1,1,0.0,No,4.0,No,No,No,No,Sí,No,No,Sí,No,No,No,No,No,Sí,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Capital Federal,Capital Federal,Palermo Hollywood,U,-58.4327975379117,-34.5811009765152,2021,238.27404020854425,Desconocido,7863.04332688196
11121,6160,61887,59778,2021-11-01,Departamento,42.0,42.0,1,1,1,0.0,0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,Capital Federal,Capital Federal,,U,-58.3764139402876,-34.5997842108997,2021,156.4933999319995,Desconocido,6572.72279714398
13563,16575,167606,62383,2022-03-01,Departamento,40.0,36.0,0,1,1,0.0,0,10.0,0,0,0,0,0,0,0,Sí,0,0,0,0,0,0,0,0,Sí,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Palermo Hollywood,U,-58.4350395342616,-34.5846814500024,2022,229.9182747950922,Desconocido,8277.05789262332
12432,16997,171573,64364,2021-01-01,Departamento,45.0,43.0,1,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Capital Federal,Capital Federal,Palermo Nuevo,S,-58.4195948342628,-34.5740416218259,2021,184.05020818833304,Desconocido,7914.15895209832
