,Unnamed: 0,id_grid,MesListing,TIPOPROPIEDAD,STotalM2,SConstrM2,Dormitorios,Banos,Ambientes,SitioOrigen,Amoblado,Antiguedad,Cisterna,AccesoInternet,BusinessCenter,Gimnasio,Laundry,Calefaccion,SalonDeUsosMul,AireAC,Recepcion,Estacionamiento,Jacuzzi,AreaJuegosInfantiles,Chimenea,Ascensor,SalonFiestas,Seguridad,Pileta,Cocheras,PistaJogging,EstacionamientoVisitas,Lobby,LocalesComerciales,SistContraIncendios,AreaParrillas,CanchaTennis,AreaCine,ITE_ADD_CITY_NAME,ITE_ADD_STATE_NAME,ITE_ADD_NEIGHBORHOOD_NAME,ITE_TIPO_PROD,LONGITUDE,LATITUDE,year,precio_pesos_constantes
383,16828,42328,2022-08-01,Departamento,48.0,48.0,1,1,2,,0.0,0.0,,1.0,,0.0,1.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,1,,,,,,0.0,,,Lanús,Bs.As. G.B.A. Sur,Lanús Oeste,N,-58.4063738221015,-34.6950226896438,2022,6558.3737499674
5171,222853,41017,2021-12-01,Departamento,59.0,51.0,1,2,2,0.0,No,5 años,0,No,0,Sí,No,No,Sí,Sí,0,0,Sí,0,0,0,0,No,Sí,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Lanús,Bs.As. G.B.A. Sur,Lanús Oeste,U,-58.3955798388388,-34.7023603487927,2021,13974.2960257541
173,7887,39706,2021-12-01,Departamento,40.0,40.0,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Lanús,Bs.As. G.B.A. Sur,Lanús Este,U,-58.3847839380482,-34.7096970884223,2021,6113.7545112674
3051,133071,46274,2021-05-01,Departamento,60.0,60.0,1,1,2,0.0,No,40 años,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Lanús,Bs.As. G.B.A. Sur,Valentín Alsina,U,-58.4103728185808,-34.6733358110529,2021,5693.9279263628
1555,66338,40693,2021-09-01,Departamento,70.0,63.0,2,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Lanús,Bs.As. G.B.A. Sur,Lanús Este,U,-58.3846937858621,-34.7042879472485,2021,10819.9199434989
4420,190049,36740,2021-05-01,Departamento,59.0,59.0,1,1,2,0.0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Lanús,Bs.As. G.B.A. Sur,Remedios de Escalada,U,-58.395973715623,-34.7257998233076,2021,7591.90390181707
2297,98555,41011,2022-05-01,Departamento,42.0,42.0,1,1,2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Lanús,Bs.As. G.B.A. Sur,Lanús Oeste,U,-58.4086790680689,-34.7022095982105,2022,5909.93602103864
3855,166436,40361,2022-04-01,Departamento,103.0,95.0,2,2,3,0.0,   0,42 años,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,0,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Lanús,Bs.As. G.B.A. Sur,,U,-58.3912737850098,-34.7060163720152,2022,13310.0201952635
2627,113405,36739,2021-02-01,Departamento,33.0,30.0,1,1,1,0.0,No,0 años,0,No,0,No,No,No,Sí,Sí,0,0,No,0,0,0,0,No,Sí,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Lanús,Bs.As. G.B.A. Sur,Remedios de Escalada,N,-58.3981575429263,-34.7257747742027,2021,6111.31965412251
6371,273392,40676,2021-12-01,Departamento,50.0,60.0,1,1,2,0.0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Lanús,Bs.As. G.B.A. Sur,Lanús Oeste,U,-58.4218090496305,-34.7038604597241,2021,5240.36100965777
2613,112695,36431,2021-09-01,Departamento,40.0,40.0,2,1,3,0.0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Lanús,Bs.As. G.B.A. Sur,Lanús Este,U,-58.3523259788662,-34.7280956529432,2021,5289.73863904391
4226,182324,35761,2021-09-01,Departamento,45.0,45.0,1,1,2,0.0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Lanús,Bs.As. G.B.A. Sur,Lanús Este,U,-58.3785928223819,-34.7314079433786,2021,4808.85330822173
851,36656,39376,2022-11-01,Departamento,50.0,45.0,1,1,2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Lanús,Bs.As. G.B.A. Sur,Lanús Este,S,-58.3869974558666,-34.7114752942067,2022,5302.46180744312
3529,153030,36081,2021-06-01,Departamento,48.0,44.0,1,1,2,0.0,No,5 años,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Lanús,Bs.As. G.B.A. Sur,Remedios de Escalada,U,-58.3982182745182,-34.7293808354906,2021,4991.90801988892
4253,183461,33796,2021-06-01,Departamento,70.0,75.0,2,1,3,0.0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Lanús,Bs.As. G.B.A. Sur,Monte Chingolo,U,-58.3591139398716,-34.7424471965441,2021,3093669.3123259
3048,132931,35093,2022-08-01,Departamento,42.0,38.0,1,1,1,,0.0,0.0,,1.0,,1.0,0.0,0.0,1.0,0.0,,,0.0,,,,,0.0,1.0,0,,,,,,0.0,,,Lanús,Bs.As. G.B.A. Sur,Remedios de Escalada,N,-58.4004934537336,-34.734764826618,2022,5442.05481380274
1700,72107,42330,2022-07-01,Departamento,38.0,36.0,1,1,2,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,Lanús,Bs.As. G.B.A. Sur,Lanús Oeste,U,-58.4020077963451,-34.6950730045793,2022,8211.92117370296
5209,224799,41019,2021-11-01,Departamento,40.0,40.0,1,1,2,0.0,No,40 años,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Lanús,Bs.As. G.B.A. Sur,Lanús Oeste,U,-58.391213407532,-34.7024102862021,2021,7252.65963822784
5426,233711,36085,2022-04-01,Departamento,29.0,29.0,0,1,1,0.0,No,6 años,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,No,0,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Lanús,Bs.As. G.B.A. Sur,Remedios de Escalada,U,-58.389482570028,-34.7294808104752,2022,4436.67339842116
5408,232948,37068,2022-06-01,Departamento,65.0,65.0,2,1,3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Lanús,Bs.As. G.B.A. Sur,Remedios de Escalada,U,-58.398127181176,-34.7239717427219,2022,8498.89049205563
1731,73468,40034,2022-12-01,Departamento,65.0,65.0,2,1,3,,0.0,40.0,,0.0,,0.0,1.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0,,,,,,0.0,,,Lanús,Bs.As. G.B.A. Sur,Lanús Oeste,U,-58.3869372516989,-34.707869205083,2022,3924.01233262095
1770,75706,39375,2021-06-01,Departamento,48.0,45.0,1,1,2,0.0,No,18 años,0,No,0,No,Sí,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Lanús,Bs.As. G.B.A. Sur,Lanús Este,U,-58.389180914943,-34.7114504149359,2021,4991.90801988892
4278,184500,41021,2022-10-01,Departamento,28.0,28.0,0,1,1,,,,,,,,,1.0,,,,,,,,,,,,0,,,,,,,,,Lanús,Bs.As. G.B.A. Sur,Lanús Oeste,U,-58.3868469654996,-34.7024600672169,2022,4326.21967276608
3444,149775,40691,2022-10-01,Departamento,78.0,78.0,2,2,4,,0.0,15.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0,,0.0,,,,0.0,0.0,,Lanús,Bs.As. G.B.A. Sur,Lanús Este,U,-58.3890603279168,-34.7042382411092,2022,9270.47072735589
6216,266828,40690,2021-01-01,Departamento,39.0,39.0,1,1,2,0.0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Lanús,Bs.As. G.B.A. Sur,Lanús Oeste,U,-58.3912435949301,-34.7042133293874,2021,6964.45987784652
3856,166439,39375,2022-04-01,Departamento,39.0,39.0,1,1,2,0.0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,1,0.0,   0,0.0,0.0,0.0,0.0,   0,   0,Lanús,Bs.As. G.B.A. Sur,Lanús Este,U,-58.389180914943,-34.7114504149359,2022,5324.00807810539
3084,134795,41346,2022-10-01,Departamento,70.0,70.0,2,2,3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Lanús,Bs.As. G.B.A. Sur,Lanús Oeste,U,-58.39554955946,-34.7005573083877,2022,8652.43934553216
1729,73430,45621,2022-06-01,Departamento,70.0,65.0,2,1,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,Lanús,Bs.As. G.B.A. Sur,Gerli,S,-58.3995212682557,-34.6770676854417,2022,6414.25697513632
2715,116986,40688,2021-12-01,Departamento,50.0,48.0,1,1,2,0.0,No,30 años,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Lanús,Bs.As. G.B.A. Sur,Lanús Oeste,U,-58.3956101209075,-34.7041633886402,2021,8733.93501609628
924,39631,40027,2021-08-01,Departamento,27.0,27.0,1,1,2,0.0,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Lanús,Bs.As. G.B.A. Sur,Lanús Oeste,S,-58.4022207459417,-34.7076942522313,2021,4728.30501525786
5055,217288,41019,2021-10-01,Departamento,78.0,78.0,2,2,3,0.0,No,15 años,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Lanús,Bs.As. G.B.A. Sur,Lanús Oeste,U,-58.391213407532,-34.7024102862021,2021,9060.15840641571
4000,172508,42344,2022-06-01,Departamento,38.0,40.0,1,1,2,,0,3,,,0,,0,1,0,0,0,,,,,,0,0,,0,,,,,,0.0,0,,Lanús,Bs.As. G.B.A. Sur,Lanús Este,U,-58.3714453153661,-34.6954208312698,2022,5612.47485324428
3459,150225,42978,2021-08-01,Departamento,100.0,78.0,2,1,3,0.0,No,45 años,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0.0,No,0.0,0.0,0.0,0.0,No,0,Lanús,Bs.As. G.B.A. Sur,Lanús Oeste,U,-58.4237760517683,-34.6912138244951,2021,7465.74476093346
6421,275467,42666,2022-11-01,Departamento,65.0,50.0,1,1,2,,,40.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,Lanús,Bs.As. G.B.A. Sur,Lanús Oeste,U,-58.3866965419579,-34.693444826293,2022,5538.12677666281
2009,86518,14040,2022-09-01,Departamento,170.0,160.0,7,2,8,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Lanús,Bs.As. G.B.A. Sur,Lanús Oeste,U,-58.3958848131597,-34.8502328884202,2022,6832.46053220337
1493,63314,36746,2022-02-01,Departamento,59.0,42.0,1,1,2,0.0,No,2 años,0,No,0,No,No,No,No,No,0,0,No,0,0,0,0,No,No,1,0.0,0,0.0,0.0,0.0,0.0,0,0,Lanús,Bs.As. G.B.A. Sur,Lanús Este,U,-58.3828706954002,-34.7259492961538,2022,5620.12230839346
2658,114364,47259,2021-10-01,Departamento,40.0,40.0,1,1,2,0.0,No,35 años,0,No,0,No,Sí,No,No,No,0,0,No,0,0,0,0,No,No,0,0.0,0,0.0,0.0,0.0,0.0,0,0,Lanús,Bs.As. G.B.A. Sur,Valentín Alsina,U,-58.4146457106445,-34.667876119789,2021,6969.35262031977
